name
Condor
Walton
Symphony
Kogan
Gradiente
Multilaser
Positivo
BlackBerry Limited
DataWind
10.Or
Amoi
BBK
Coolpad
Cubot
Gfive
Haier
Hisense
Honor
Huawei
Konka
LeEco
Meitu
Meizu
Ningbo Bird
OnePlus
Oppo
Realme
iQOO
Smartisan
TCL Corporation
Technology Happy Life
Tecno Mobile
Vivo
Vsun
Wasam
Xiaomi
Zopo Mobile
ZTE
ZUK Mobile
Jablotron
Verzo
SICO Technology
Jolla
Nokia Corporation
HMD Global
Bittium
Archos
Groupe Bull
MobiWire
Wiko
Gigaset
Medion
TechniSat
Tiptel
MLS
X-tigi Mobile
Lenovo
Infinix
Celkon
Iball
Intex Technologies
Karbonn Mobiles
Lava International
HCL Technologies
Jio
LYF
Micromax Informatics
Onida Electronics
Realme
Spice Digital
Videocon
Xolo
YU Televentures
mPhone
Nexian
MITO
Polytron
Advan
Axioo
IMO
Zyrex
Andromax
Evercoss
Luna
Genpro
Asiafone
Himax
SPC
Vitell
Venera
Osmo
HiCore
Maxtron
Brondi
New Generation Mobile
Olivetti
Onda Mobile Communication
Akai
Fujitsu
Casio
Hitachi
JRC
Kyocera
Mitsubishi Electric
NEC
Panasonic
Sansui
Sharp
Sony
Toshiba
Just5
M Dot
Ninetology
Kyoto Electronics
Lanix
Zonda
Fairphone
John's Phone
Philips
Arirang[citation needed]
QMobile
Voice Mobile
Cherry Mobile
Firefly Mobile (PH)
Starmobile
Cloudfone
MyPhone
Torque
Kruger&Matz
Manta Multimedia
myPhone
Allview
Evolio
E-Boda
Myria
Utok
Beeline
Explay
Gresso
Highscreen
Megafon
MTS
RoverPC
teXet
Sitronics
Yotaphone
MTN
Mobicel
Vodacom
KT Tech
Pantech
Samsung
Doro
Acer
Asus
BenQ
DBTel
Dopod
Foxconn
Gigabyte Technology
HTC
AIS
DTAC
True
Wellcom
I-Mobile
EvertekTunisie
ASELSAN
Vestel
Thuraya
Bullitt Group
Wileyfox
Apple
BLU Products
Caterpillar
Firefly
Garmin
Google
HP
InFocus
InfoSonics[2]
Motorola Mobility
Obi Worldphone
Nextbit
"Purism, SPC"
BPhone
Masstel
GTel
